# AFNI interactive cluster table
# 3dclust -1Dformat -nosum -1dindex 1 -1tindex 1 -2thresh -3.67 3.67 -dxyz=1 1.75 215 /data/birc/Florida/STN/SUBCORT_DISS_2009/SC/stowler-temp-201407XX/group/ttest.youngvszero.taskA.nii.gz
#Coordinate order = RAI
#Voxels  CM x   CM y   CM z  Peak x Peak y Peak z
#------ ------ ------ ------ ------ ------ ------
 478374   -2.3  -26.3 +101.7  -57.0  -20.0  +94.0
 472950   +5.1  +60.3  -65.3  -64.0 +120.0  -68.0
 358956   +6.2  +52.1   -4.5  +40.0  +76.0  -10.0
  16300  -53.8   -1.7  +29.3  -49.0   +8.0  +32.0
  16134   -1.4   -9.5  +48.2   +4.0   -3.0  +56.0
  14776  -67.8 +101.5 +105.2  -66.0 +109.0 +108.0
  10304  +74.9  -11.2  +19.9  +77.0   -9.0  +18.0
   7944   -0.9  -40.8   -7.7   +6.0  -34.0   -2.0
   4232  -78.4  -12.7  +19.8  -88.0   -3.0  +11.0
   1761   -7.8  -71.7  -22.6   -3.0  -74.0  -23.0
   1420   -1.3  +29.6  +76.9   -2.0  +23.0  +74.0
   1333  -34.6  -55.5  +61.3  -34.0  -56.0  +65.0
    990   -6.9  -65.8  +24.3   -7.0  -65.0  +29.0
    925  -21.5  -60.3   -0.9  -22.0  -60.0   -3.0
    833  -45.7  +88.6 +100.6  -46.0  +88.0 +100.0
    744  -19.4   +7.7  -38.4  -20.0  +10.0  -43.0
    717  -11.5  +61.3  +22.0  -12.0  +64.0  +23.0
    608   +8.1  +68.4  +29.9   +8.0  +68.0  +31.0
    584  +86.0 +120.9 +106.5  +90.0 +116.0 +108.0
    568  -33.9  +15.4  -40.4  -34.0  +18.0  -42.0
    555   +0.2  +18.9   +9.3   +1.0  +18.0  +10.0
    502  -40.0  -51.4  +24.4  -42.0  -53.0  +23.0
    486  +18.6  -60.3   +0.0  +14.0  -60.0   +0.0
    479  +17.8  +30.8  -33.9  +18.0  +32.0  -35.0
    448  +18.0  +22.5  +13.4  +18.0  +23.0  +14.0
    445  +64.7 +124.5  +77.9  +69.0 +126.0  +75.0
    424   +3.7  -61.1  -30.6   +3.0  -62.0  -33.0
    399  +68.9   +2.6  +66.3  +73.0   +8.0  +72.0
    327  -80.8  -73.3   +9.0  -81.0  -71.0   +5.0
    314  -27.4 +117.3  +69.2  -30.0 +118.0  +67.0
    293  +14.0  -66.4  +24.9  +18.0  -70.0  +23.0
    285  +58.6  -38.4  +64.2  +59.0  -36.0  +67.0
    282  +10.1  -27.7   +0.1  +14.0  -31.0   +0.0
    274  -28.7  +37.2  +22.0  -25.0  +37.0  +27.0
    271  +62.0  -34.6  -28.8  +60.0  -35.0  -26.0
    251  +14.4   +7.2  +11.9  +15.0   +7.0  +11.0
    230  +76.6  -11.6  +54.8  +80.0  -11.0  +53.0
    223  -26.1  -20.6  +47.0  -27.0  -21.0  +47.0
    222   -5.1  +96.2 +100.1   -6.0  +95.0  +98.0
    221  +20.7  -35.5  -19.0  +21.0  -35.0  -19.0
    219  -27.1  -47.6  -27.2  -25.0  -47.0  -27.0
