# AFNI interactive cluster table
# 3dclust -1Dformat -nosum -1dindex 1 -1tindex 1 -2thresh -3.67 3.67 -dxyz=1 1.75 215 /data/birc/Florida/STN/SUBCORT_DISS_2009/SC/stowler-temp-201407XX/group/ttest.youngvszero.taskB.nii.gz
#Coordinate order = RAI
#Voxels  CM x   CM y   CM z  Peak x Peak y Peak z
#------ ------ ------ ------ ------ ------ ------
 644043   -1.1  +37.2   +7.0  +22.0  +89.0  -16.0
 481788   -4.8  -22.8 +102.8  -45.0 +126.0 +107.0
 458199   +5.2  +57.8  -66.0  +65.0   -4.0  -70.0
   7125  +73.7  -17.2  +20.8  +66.0  -38.0  +15.0
   6373   +0.4  -41.5   -9.2   +6.0  -37.0   -2.0
   3221  +32.5  -50.2  +18.1  +33.0  -47.0  +16.0
   3094  -74.2  -24.8  +16.2  -72.0  -22.0  +28.0
   1888  -23.6   +9.4  -36.9  -17.0   +4.0  -37.0
    528  +47.9  +43.8  +58.1  +49.0  +46.0  +58.0
    448  +23.9  -43.4  +37.1  +24.0  -44.0  +35.0
    416  +67.5  -42.4  +50.5  +70.0  -45.0  +46.0
    405  +16.5  +15.6  +29.9  +17.0  +16.0  +30.0
    357  +50.2  -46.6  +61.6  +55.0  -45.0  +63.0
    353  +76.6  +29.0  +17.1  +75.0  +30.0  +20.0
    332  +15.4   -0.3  -18.9  +16.0   +0.0  -18.0
    318  +70.6  -88.0  +72.7  +71.0  -87.0  +72.0
    316   +8.8   -6.8   -0.9  +10.0   -7.0   +1.0
    305  +53.4  -75.7   +1.3  +53.0  -76.0   +2.0
    287  -14.8  -28.1   +4.2  -16.0  -29.0   +4.0
    272  -71.0  +53.0  +77.8  -71.0  +53.0  +78.0
    217  +10.9  -28.1   +4.0  +12.0  -30.0   +4.0
