# AFNI interactive cluster table
# 3dclust -1Dformat -nosum -1dindex 1 -1tindex 1 -2thresh -3.67 3.67 -dxyz=1 1.75 215 /data/birc/Florida/STN/SUBCORT_DISS_2009/SC/stowler-temp-201407XX/group/ttest.paired.BvsA.old.nii.gz
#Coordinate order = RAI
#Voxels  CM x   CM y   CM z  Peak x Peak y Peak z
#------ ------ ------ ------ ------ ------ ------
   5386   -4.4  +26.9  -53.1   -8.0  +25.0  -56.0
   2292  +60.3 +105.0  -36.5  +58.0 +112.0  -35.0
   1677  +28.0 +119.9  -32.4  +30.0 +122.0  -28.0
   1514  +47.3  -13.5  +20.3  +47.0  -11.0  +23.0
   1509   -3.5  +69.6  +36.2  -12.0  +65.0  +42.0
   1436  -42.5  -15.3  -45.0  -48.0  -16.0  -38.0
   1402  -45.0  +52.9  +33.2  -43.0  +59.0  +27.0
   1176  -33.2   -5.5  +48.1  -32.0   -1.0  +57.0
   1162  -19.7 +103.7  -35.4  -19.0 +107.0  -37.0
    902   +4.9  +93.0  -41.4   -3.0  +93.0  -39.0
    861  +43.9  +49.2  +32.7  +41.0  +50.0  +27.0
    821  +82.0  +75.9  -42.2  +85.0  +75.0  -39.0
    746  +69.7  +42.8  -53.0  +74.0  +46.0  -46.0
    619   -9.6  +62.7  -11.2   -9.0  +59.0  -11.0
    564  +14.7  +61.8  -12.7  +17.0  +65.0  -14.0
    556   -5.0  +51.9  -22.0   -6.0  +50.0  -24.0
    547  -26.7  -47.8  +66.2  -25.0  -47.0  +66.0
    526  +49.5  -34.0   +0.4  +50.0  -33.0   +0.0
    506  +42.3 +109.2  -31.5  +42.0 +108.0  -33.0
    462  +26.8   -4.3  +25.7  +30.0   -3.0  +32.0
    409  +54.0  +32.8   -2.6  +49.0  +31.0   -5.0
    397   +4.7 +123.6  -29.1   +4.0 +122.0  -30.0
    337   -6.6  -23.3  +35.1   -6.0  -24.0  +35.0
    313  -51.5   -9.0  -61.1  -53.0   -9.0  -62.0
    288  +64.1  +19.7  -11.5  +64.0  +21.0  -11.0
    262   -3.8 +102.3  -35.0   -4.0 +103.0  -38.0
    255  +21.0   +9.8  +41.8  +22.0   +9.0  +42.0
    226  -15.1   +6.4  -20.8  -15.0   +2.0  -22.0
