# AFNI interactive cluster table
# 3dclust -1Dformat -nosum -1dindex 1 -1tindex 1 -2thresh -3.67 3.67 -dxyz=1 1.75 215 /data/birc/Florida/STN/SUBCORT_DISS_2009/SC/stowler-temp-201407XX/group/ttest.oldvszero.taskA.nii.gz
#Coordinate order = RAI
#Voxels  CM x   CM y   CM z  Peak x Peak y Peak z
#------ ------ ------ ------ ------ ------ ------
 503370   -2.5  +84.7  -60.4  +67.0  +36.0  -68.0
 474000   +6.0  -53.6  +96.8  -69.0  -83.0  +73.0
 456502   +2.2  +28.7  +27.6   +4.0   +0.0  +54.0
   1982  +15.5 +120.5 +101.2   +5.0 +118.0 +101.0
   1728  +70.6 +123.5  +90.6  +65.0 +125.0  +86.0
   1165  -17.2   -5.7   -0.8  -16.0   -5.0   +2.0
    832  +21.4  -24.6  -70.1  +16.0  -30.0  -71.0
    576   -0.4  -54.5  -27.6   +1.0  -54.0  -20.0
    574  -18.2   +3.6  -24.2  -16.0   +0.0  -23.0
    562   -1.3  -70.2  -15.6   -2.0  -74.0  -12.0
    558  +13.5   -4.9   -6.5  +14.0   -4.0   -3.0
    493  +25.9   -2.8  -43.8  +24.0   -3.0  -44.0
    477   -1.1   +1.2  +13.8   -2.0   +0.0  +13.0
    464  +53.5  -52.7  +52.3  +54.0  -53.0  +52.0
    464  -15.5  -71.8  +63.9  -15.0  -70.0  +63.0
    462  +53.1  +63.4  +96.5  +51.0  +64.0  +98.0
    419  +19.2  +10.0  -42.9  +16.0  +11.0  -46.0
    408   -8.6  -19.2   -2.3   -7.0  -18.0   -4.0
    405  -58.3 +120.3 +107.5  -56.0 +121.0 +109.0
    402  +78.2 +104.8 +106.4  +76.0 +108.0 +107.0
    397  +59.2  -43.7  +38.6  +59.0  -44.0  +42.0
    395  -72.7  +49.3  +86.1  -78.0  +50.0  +90.0
    391  -75.9  -23.8  +33.1  -78.0  -23.0  +32.0
    386   -8.6  -42.4  +44.1   -9.0  -41.0  +43.0
    358  -34.1  -47.3   +7.5  -36.0  -46.0   +8.0
    357  -64.4  +13.9  +76.7  -64.0  +12.0  +76.0
    345  +73.9   -4.8  +29.9  +74.0   -3.0  +29.0
    316  -34.3  -37.5  +28.7  -33.0  -36.0  +29.0
    300  -80.4  -11.3  -67.8  -79.0  -11.0  -68.0
    299  +12.3  -73.4  -16.7  +12.0  -73.0  -17.0
    292  -32.1  -13.3  +55.4  -32.0  -13.0  +54.0
    288  -54.3  -22.2  -68.4  -54.0  -20.0  -72.0
    284   -9.3 +121.0  +78.8  -11.0 +116.0  +77.0
    277  -12.1  -79.9  -23.9   -9.0  -80.0  -19.0
    277  +68.0   +0.9  +44.0  +67.0   +0.0  +43.0
    270  +37.3  -39.4  -70.4  +34.0  -38.0  -72.0
    270  -84.8  +51.0  +41.4  -86.0  +52.0  +41.0
    260  +80.5  +85.4  +26.9  +81.0  +90.0  +24.0
    247  +30.0  -40.2  +22.5  +31.0  -39.0  +25.0
    246  -17.6  -77.3  -12.9  -15.0  -82.0  -12.0
    230  -78.6  -18.7  +54.7  -78.0  -19.0  +57.0
    225  +55.8  +41.5 +107.7  +57.0  +40.0 +108.0
    217  -82.4 +121.8  +98.4  -83.0 +126.0 +101.0
    215  +81.1  +85.4  -29.3  +82.0  +85.0  -31.0
