# AFNI interactive cluster table
# 3dclust -1Dformat -nosum -1dindex 1 -1tindex 1 -2thresh -3.67 3.67 -dxyz=1 1.75 215 /data/birc/Florida/STN/SUBCORT_DISS_2009/SC/stowler-temp-201407XX/group/ttest.oldvszero.taskB.nii.gz
#Coordinate order = RAI
#Voxels  CM x   CM y   CM z  Peak x Peak y Peak z
#------ ------ ------ ------ ------ ------ ------
 538652   -4.5  +85.5  -61.1   +4.0  +22.0  -72.0
 497397   +6.3  -55.7  +96.4  -20.0  -66.0  +80.0
 459441   +2.0  +28.8  +27.4  +32.0   +8.0  +45.0
   4851  +66.4 +122.7 +101.6  +74.0 +125.0  +85.0
   4196   -5.8  -69.6  -20.1   -1.0  -70.0  -16.0
   3999  -17.2 +121.9 +101.9  -28.0 +124.0 +109.0
   3892  -65.0 +122.4  +99.3  -59.0 +122.0 +106.0
   3031  -17.1   -1.3   -6.9  -15.0   +2.0  -21.0
   1131  -38.4  -28.9  -66.3  -37.0  -28.0  -68.0
   1120  +11.9  -39.9  +39.9  +12.0  -41.0  +38.0
    793  +32.1   +5.3  -40.8  +32.0   +5.0  -39.0
    780  +27.5  +57.9  +71.3  +21.0  +56.0  +75.0
    771  -68.8  -18.3  +74.7  -69.0  -19.0  +69.0
    760   -5.9   -1.0  +12.1   -8.0   +3.0  +13.0
    732   -8.6  -18.6   -3.9   -6.0  -18.0   -6.0
    668  +45.3  -49.8  +28.7  +44.0  -54.0  +28.0
    651  +15.2   -2.8  -12.9  +15.0   +2.0  -21.0
    649  -63.7  +10.5  +78.1  -63.0  +10.0  +80.0
    620  +29.8  -38.0  -67.6  +31.0  -39.0  -70.0
    549  -51.0  -19.6  +63.8  -49.0  -16.0  +65.0
    525  -65.8  -18.7  -67.0  -59.0  -26.0  -71.0
    525  -79.6  +52.5  +44.5  -82.0  +50.0  +41.0
    499  -49.8  -53.1  +48.3  -50.0  -53.0  +48.0
    458  +76.1  -55.0   -3.5  +76.0  -58.0   -4.0
    449  -31.5  +57.8  +71.9  -33.0  +62.0  +72.0
    425  -51.9  -62.3   -7.8  -54.0  -64.0   -5.0
    407  +73.4   +1.6  +50.4  +71.0   +3.0  +47.0
    394  +51.1  -51.4  +51.7  +51.0  -52.0  +52.0
    388  -61.7  +20.1  +56.3  -62.0  +20.0  +56.0
    361  +36.9  -58.7  +59.2  +37.0  -59.0  +60.0
    346  -47.1  +45.6  -19.8  -47.0  +46.0  -22.0
    332   -1.7  -44.3  +19.0   -2.0  -47.0  +20.0
    309  -63.4  +30.0  -44.9  -61.0  +31.0  -44.0
    299  +16.1 +120.8 +101.4  +16.0 +119.0  +98.0
    220  -83.6  -26.2  -31.9  -84.0  -28.0  -31.0
    216   -5.5  -27.0  -62.0   -6.0  -27.0  -65.0
    216   +2.6 +125.2  +64.6   +3.0 +126.0  +65.0
    215  +79.3  +85.7  +24.6  +78.0  +89.0  +22.0
