CLUSTNUM CONDITION GROUP AUCMEAN
clusterNumber1 TaskA Old 0.21850071
clusterNumber2 TaskA Old 1.60654213
clusterNumber3 TaskA Old -0.92035291
clusterNumber4 TaskA Old 1.19141003
clusterNumber7 TaskA Old 3.37979553
clusterNumber1 TaskB Old -0.49979987
clusterNumber2 TaskB Old 2.17565187
clusterNumber3 TaskB Old -1.88556185
clusterNumber4 TaskB Old 1.27336733
clusterNumber7 TaskB Old 1.48916867
clusterNumber1 TaskB-A Old -0.71830037
clusterNumber2 TaskB-A Old 0.56910753
clusterNumber3 TaskB-A Old -0.96521235
clusterNumber4 TaskB-A Old 0.08195605
clusterNumber7 TaskB-A Old -1.89062547
clusterNumber1 TaskA Young -0.08546793
clusterNumber2 TaskA Young -1.3126394
clusterNumber3 TaskA Young -0.29969136
clusterNumber4 TaskA Young 0.35479975
clusterNumber7 TaskA Young 3.07030947
clusterNumber1 TaskB Young 1.45907393
clusterNumber2 TaskB Young 1.32496539
clusterNumber3 TaskB Young 0.5245516
clusterNumber4 TaskB Young 2.38244087
clusterNumber7 TaskB Young 6.17857933
clusterNumber1 TaskB-A Young 1.5445412
clusterNumber2 TaskB-A Young 2.63760193
clusterNumber3 TaskB-A Young 0.82424441
clusterNumber4 TaskB-A Young 2.02764245
clusterNumber7 TaskB-A Young 3.10826621
